Notice;Titre;Auteur;Editeur;ISBN;"Date publication";"Categorie prêt";Cote;CB;"Numéro inventaire";Statut;Perdu;Retiré;"Date création";"Dernier prêt";"Nb prêts";"Nb renouvellements";"Prêts période";PPN
482078;"Référentiel de médecine vasculaire et de chirurgie vasculaire";"Collège des enseignants de médecine vasculaire (CEMV) ; Collège français de chirurgie vasculaire (CFCV)";"Presses universitaires François-Rabelais";978-2-86906-669-4;2018;P_COURT;"WG 10  COL 2018";1052399171;V550019;Disponible;"Non perdu";"Non retiré";2019-07-02;2020-03-13;6;;6;230043054
482078;"Référentiel de médecine vasculaire et de chirurgie vasculaire";"Collège des enseignants de médecine vasculaire (CEMV) ; Collège français de chirurgie vasculaire (CFCV)";"Presses universitaires François-Rabelais";978-2-86906-669-4;2018;P_COURT;"WG 10  COL 2018";1052399201;V550016;Disponible;"Non perdu";"Non retiré";2019-07-02;2020-03-13;6;;6;230043054
482078;"Référentiel de médecine vasculaire et de chirurgie vasculaire";"Collège des enseignants de médecine vasculaire (CEMV) ; Collège français de chirurgie vasculaire (CFCV)";"Presses universitaires François-Rabelais";978-2-86906-669-4;2018;P_COURT;"WG 10  COL 2018";1052399119;V550029;Disponible;"Non perdu";"Non retiré";2019-07-02;2020-09-08;4;;4;230043054
482078;"Référentiel de médecine vasculaire et de chirurgie vasculaire";"Collège des enseignants de médecine vasculaire (CEMV) ; Collège français de chirurgie vasculaire (CFCV)";"Presses universitaires François-Rabelais";978-2-86906-669-4;2018;P_COURT;"WG 10  COL 2018";1052399195;V550017;Disponible;"Non perdu";"Non retiré";2019-07-02;2020-09-09;3;;3;230043054
482078;"Référentiel de médecine vasculaire et de chirurgie vasculaire";"Collège des enseignants de médecine vasculaire (CEMV) ; Collège français de chirurgie vasculaire (CFCV)";"Presses universitaires François-Rabelais";978-2-86906-669-4;2018;P_COURT;"WG 10  COL 2018";1052399164;V550020;Disponible;"Non perdu";"Non retiré";2019-07-02;2020-09-08;5;;5;230043054
482078;"Référentiel de médecine vasculaire et de chirurgie vasculaire";"Collège des enseignants de médecine vasculaire (CEMV) ; Collège français de chirurgie vasculaire (CFCV)";"Presses universitaires François-Rabelais";978-2-86906-669-4;2018;P_COURT;"WG 10  COL 2018";1052399089;V550027;Disponible;"Non perdu";"Non retiré";2019-07-02;2020-07-07;5;1;6;230043054
482078;"Référentiel de médecine vasculaire et de chirurgie vasculaire";"Collège des enseignants de médecine vasculaire (CEMV) ; Collège français de chirurgie vasculaire (CFCV)";"Presses universitaires François-Rabelais";978-2-86906-669-4;2018;P_COURT;"WG 10  COL 2018";1052399133;V550023;Disponible;"Non perdu";"Non retiré";2019-07-02;2019-09-02;1;;1;230043054
482078;"Référentiel de médecine vasculaire et de chirurgie vasculaire";"Collège des enseignants de médecine vasculaire (CEMV) ; Collège français de chirurgie vasculaire (CFCV)";"Presses universitaires François-Rabelais";978-2-86906-669-4;2018;P_COURT;"WG 10  COL 2018";1052399218;V550025;Disponible;"Non perdu";"Non retiré";2019-07-02;2020-09-09;5;;5;230043054
482078;"Référentiel de médecine vasculaire et de chirurgie vasculaire";"Collège des enseignants de médecine vasculaire (CEMV) ; Collège français de chirurgie vasculaire (CFCV)";"Presses universitaires François-Rabelais";978-2-86906-669-4;2018;P_COURT;"WG 10  COL 2018";1052399188;V550018;Disponible;"Non perdu";"Non retiré";2019-07-02;2019-11-18;2;;2;230043054
482078;"Référentiel de médecine vasculaire et de chirurgie vasculaire";"Collège des enseignants de médecine vasculaire (CEMV) ; Collège français de chirurgie vasculaire (CFCV)";"Presses universitaires François-Rabelais";978-2-86906-669-4;2018;P_COURT;"WG 10  COL 2018";1052399157;V550021;Disponible;"Non perdu";"Non retiré";2019-07-02;2020-03-13;4;;4;230043054
482078;"Référentiel de médecine vasculaire et de chirurgie vasculaire";"Collège des enseignants de médecine vasculaire (CEMV) ; Collège français de chirurgie vasculaire (CFCV)";"Presses universitaires François-Rabelais";978-2-86906-669-4;2018;P_COURT;"WG 10  COL 2018";1052399072;V550026;Disponible;"Non perdu";"Non retiré";2019-07-02;2020-03-13;2;;2;230043054
482078;"Référentiel de médecine vasculaire et de chirurgie vasculaire";"Collège des enseignants de médecine vasculaire (CEMV) ; Collège français de chirurgie vasculaire (CFCV)";"Presses universitaires François-Rabelais";978-2-86906-669-4;2018;P_COURT;"WG 10  COL 2018";1052399096;V550028;Disponible;"Non perdu";"Non retiré";2019-07-02;;;;;230043054
482078;"Référentiel de médecine vasculaire et de chirurgie vasculaire";"Collège des enseignants de médecine vasculaire (CEMV) ; Collège français de chirurgie vasculaire (CFCV)";"Presses universitaires François-Rabelais";978-2-86906-669-4;2018;E;"WG 10  COL 2018";1052399126;V550022;Disponible;"Non perdu";"Non retiré";2019-07-02;;;;;230043054
482078;"Référentiel de médecine vasculaire et de chirurgie vasculaire";"Collège des enseignants de médecine vasculaire (CEMV) ; Collège français de chirurgie vasculaire (CFCV)";"Presses universitaires François-Rabelais";978-2-86906-669-4;2018;P_COURT;"WG 10  COL 2018";1052399140;V550024;Disponible;"Non perdu";"Non retiré";2019-07-02;2020-09-07;6;;6;230043054
